player_id;family_name;given_name;goal_keeper;defender;midfielder;forward;count_tournaments
P-02319;Ashraf;Ayman;0;1;0;0;1
P-09742;Ak;Emre;0;1;0;0;1
P-01501;slund;Sanny;0;0;0;1;1
P-08847;Aspas;Iago;0;0;0;1;1
P-04791;Assemoassa;Ludovic;0;1;0;0;1
P-07087;Assiri;Muhannad;0;0;0;1;1
P-08033;Astengo;Eduardo;0;0;1;0;1
P-01100;Astle;Jeff;0;0;0;1;1
P-06407;Aston;John;0;1;0;0;1
P-03277;Astorga;Manuel;1;0;0;0;1
P-08644;Astrada;Leonardo;0;0;1;0;1
P-04994;Astudillo;Ramn;0;1;0;0;1
P-04411;Atanackovi;Aleksandar;0;0;1;0;1
P-09828;Atmatsidis;Elias;1;0;0;0;1
P-06441;Atsou;Franck;0;0;1;0;1
P-01158;Atsu;Christian;0;0;1;0;1
P-05147;ttila;not applicable;0;0;0;1;1
P-03229;Aubour;Marcel;1;0;0;0;1
P-09425;Auguste;Arsne;0;1;0;0;1
P-03858;Augustine;Brendan;0;0;0;1;1
P-03603;Augustinsson;Ludwig;0;1;0;0;1
P-04280;Augusto;Jos;0;0;1;0;1
P-05238;Augusto;not applicable;0;1;0;0;1
P-08163;Augusto;Renato;0;0;1;0;1
P-09800;Augustsson;Jrgen;0;1;0;0;1
P-03079;Auld;Andy;0;0;1;0;1
P-00479;Aumann;Raimond;1;0;0;0;1
P-00120;Aurier;Serge;0;1;0;0;1
P-08383;Ausloos;Raymond;1;0;0;0;1
P-06878;Austin;Jean-Herbert;0;1;0;0;1
P-09160;Avalos;Enrique;0;0;0;1;1
P-07588;Avalos;Marcial;0;0;0;1;1
P-01316;valos;Rafael;0;0;1;0;1
P-05027;Avar;Istvn;0;0;0;1;1
P-09728;Avduki;Asmir;1;0;0;0;1
P-04336;Aveiro;Jos Ral;0;0;0;1;1
P-01040;vila;Ricardo;0;0;1;0;1
P-02403;Avio;Ludovico;0;0;0;1;1
P-00439;Awaziem;Chidozie;0;1;0;0;1
P-04993;Axbom;Sven;0;1;0;0;1
P-02221;Axelsson;Kurt;0;1;0;0;1
P-06051;Axelsson;Nils;0;1;0;0;1
P-08859;Ayache;William;0;1;0;0;1
P-03759;Ayala;Hugo;0;1;0;0;1
P-03494;Ayala;Rubn;0;0;0;1;1
P-00268;Ayari;Anis;0;1;0;0;1
P-08301;Ayew;Ibrahim;0;1;0;0;1
P-06325;Ayew;Jordan;0;0;0;1;1
P-01514;Ayov;Jaime;0;0;0;1;1
P-05521;Ayra;Juan;1;0;0;0;1
P-00544;Ayta;Kadri;0;0;0;1;1
P-05786;Azeez;Ramon;0;0;1;0;1
P-01080;Aziawonou;Yao;0;0;1;0;1
